scheduler,trials,frames,users_per_macro,include_mobility,include_orientation,include_nlos,nlos_profile,resource_control,mean_delta_used,std_delta_used,delta_switch_rate,mean_center_pool_size,mean_edge_pool_size,frac_delta_0_5,frac_delta_0_6667,frac_delta_0_8,adaptive_delta_enabled,adaptive_ofdma_enabled,adaptive_power_enabled,adaptive_max_users_per_region,adaptive_min_subcarriers_per_user,mean_sinr_db,median_sinr_db,avg_rate_bpshz,p5_rate_bpshz,coverage_continuity_10db,coverage_continuity_20db,outage_probability_10db,outage_probability_20db,avg_outage_duration_frames,p95_outage_duration_frames,link_opportunity_mean_sinr_db,link_opportunity_median_sinr_db,link_opportunity_avg_rate_bpshz,link_opportunity_continuity_10db,link_opportunity_continuity_20db,link_opportunity_outage_probability_10db,link_opportunity_outage_probability_20db,link_opportunity_avg_outage_duration_20db,scheduled_link_continuity_10db,scheduled_link_continuity_20db,service_avg_rate_bpshz_all_users,beam_switching_rate,fairness_over_time,mean_served_fraction,mean_user_throughput_bpshz,p5_user_throughput_bpshz,worst_user_throughput_bpshz,avg_time_between_services_frames,mean_service_gap_frames,p95_service_gap_frames,mean_longest_service_gap_frames,p95_longest_service_gap_frames,starvation_probability_gap10,edge_served_frame_ratio,center_served_frame_ratio,edge_coverage_continuity_10db,edge_coverage_continuity_20db,edge_outage_probability_10db,edge_outage_probability_20db,center_coverage_continuity_10db,center_coverage_continuity_20db,edge_frame_fraction,time_s,experiment,case,seed,wall_time_s
max_sinr,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,29.335978816884353,-7.942900330647252,185.38749190429016,0.0,0.0584074074074074,0.02871534391534391,0.9415925925925926,0.9712846560846561,48.69821731748727,75.0,29.704193549376242,-300.0,113.16887234182323,0.14646455026455027,0.0707904761904762,0.8535354497354497,0.9292095238095238,31.884640522875817,0.3566258335343604,0.18026827070664683,30.849459539074434,0.014957099957099958,0.0632727023267333,0.16640529100529103,30.84945953907443,0.0,0.0,17.27790944287,15.934038593794247,64.0,43.30238095238095,75.0,0.9864285714285714,0.20889897563237378,0.13177746672933363,0.09403707620211856,0.06076017482627821,0.9059629237978815,0.9392398251737217,0.031245938560158126,0.0043117501204713695,0.47619047619047616,827.4463212490082,main,combined_mobility_orientation_nlos,3,827.5083446502686
proportional_fair,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,29.122551446991555,-9.967306134860422,174.76139487055397,0.0,0.049463492063492064,0.020242328042328037,0.9505365079365079,0.9797576719576719,34.061915973806194,75.0,26.635912374686043,-300.0,74.10963711722513,0.11027195767195766,0.058011640211640216,0.8897280423280424,0.9419883597883598,23.303115183246074,0.3761337332855316,0.17440468328780848,29.081220769925103,0.014957099957099958,0.053602060758483436,0.16640529100529103,29.0812207699251,0.0,0.0,11.911117381605028,10.633159656606015,43.0,35.23134920634921,75.0,0.9792063492063492,0.17632846265503854,0.15832278883564552,0.06424588912405645,0.0302633330584222,0.9357541108759435,0.9697366669415778,0.039107497272646,0.013297903887425593,0.47619047619047616,828.2045931816101,main,combined_mobility_orientation_nlos,3,828.2670664787292
omn_pf_a,300.0,75.0,42.0,1.0,1.0,1.0,stress,adaptive_ofdma_power_fixed_delta,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,32.0,5.362021455849767,-300.0,46.86450464369533,0.0,0.018761904761904754,0.0008708994708994694,0.9812380952380952,0.9991291005291005,70.57684257736582,75.0,3.293386692819946,-300.0,20.61408464168597,0.040614814814814805,0.003353439153439151,0.9593851851851852,0.9966465608465609,63.30360263476274,0.07290863716701625,0.004706047535138536,12.014967965138549,0.014907764907764907,0.07061804557693246,0.2563767195767196,12.014967965138549,0.0,0.0,4.511758242690645,4.797045552286488,11.0,12.491428571428571,28.0,0.5383333333333333,0.2699366475088002,0.24380805411654138,0.036666272873510944,0.0004088049505724202,0.963333727126489,0.9995911950494276,0.006177671386200823,0.0012259361457372124,0.42634920634920637,2007.4406378269196,main,combined_mobility_orientation_nlos,2,2007.5082714557648
omn_pf,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,28.957876262664172,-7.816684384733772,181.97074586960673,0.0,0.05619153439153439,0.02589312169312169,0.9438084656084657,0.9741068783068783,32.72650028441411,75.0,28.787644298995538,-300.0,97.079708592468,0.1302042328042328,0.06491534391534391,0.8697957671957672,0.9350846560846561,22.48257174842255,0.39839908456557016,0.2031026655762208,30.280894920881764,0.014957099957099958,0.06019988277363802,0.16640529100529103,30.280894920881764,0.0,0.0,14.110871450087233,11.688161194118432,47.0,37.045476190476194,75.0,0.9798412698412698,0.20332690895676464,0.13678570138060375,0.08729881677166627,0.049904251577065996,0.9127011832283337,0.950095748422934,0.032752478137456464,0.008286703098827815,0.47619047619047616,872.9010279178619,main,combined_mobility_orientation_nlos,3,872.9636812210083
rr1,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,27.27101246120098,-300.0,89.44728767042263,0.0,0.023061375661375658,0.010535449735449731,0.9769386243386243,0.9894645502645503,42.37487537387837,75.0,26.858525032965925,-300.0,76.07384846010245,0.10801587301587301,0.05411746031746031,0.891984126984127,0.9458825396825397,20.241372282608694,0.16924034116910516,0.07956429500655103,14.88582707943318,0.015066495066495069,0.02732458672326885,0.16642010582010583,14.88582707943318,0.0,0.0,6.507186325624598,4.919979513956117,12.0,13.52936507936508,28.0,0.6516666666666666,0.16603680617446478,0.16485488552768227,0.02331011200608028,0.013669812069766661,0.9766898879939198,0.9863301879302333,0.023156280979928185,0.008504439275138742,0.48158730158730156,819.2158741950989,main,combined_mobility_orientation_nlos,4,819.2796022891998
max_sinr,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,29.068290850702063,-7.60944108102363,185.56924396144998,0.0,0.05931216931216931,0.02888994708994709,0.9406878306878307,0.9711100529100529,47.89160839160839,75.0,30.072761951865537,-300.0,116.43281468748698,0.14883597883597882,0.07347936507936509,0.8511640211640212,0.926520634920635,31.305849542334094,0.36539596715368045,0.1858483905759381,30.88245321702154,0.015066495066495069,0.06405878598104606,0.16642010582010583,30.88245321702154,0.0,0.0,17.20032720126155,15.889081630594832,64.0,43.168730158730156,75.0,0.9861904761904762,0.2086575426932899,0.13212729871799248,0.09430560715187275,0.06120328763949856,0.9056943928481272,0.9387967123605014,0.03167215741078474,0.004324979169424756,0.48158730158730156,834.9326617717743,main,combined_mobility_orientation_nlos,4,834.9984712600708
proportional_fair,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,29.270362501666657,-9.547337609200655,177.56170386943498,0.0,0.05002645502645502,0.020767195767195764,0.949973544973545,0.9792328042328042,33.63654538184726,75.0,26.986964795006422,-300.0,76.08484405801218,0.11190476190476191,0.059557671957671955,0.888095238095238,0.9404423280423281,22.63442339038305,0.3803335151297137,0.18186258420525744,29.54983754754966,0.015066495066495069,0.05380896852411918,0.16642010582010583,29.549837547549664,0.0,0.0,11.696777399032229,10.616920049598361,43.0,35.06706349206349,74.0,0.9776190476190476,0.17572078766406965,0.15964764146105004,0.06377623897712927,0.03051516762684093,0.9362237610228707,0.9694848323731591,0.039815142025782034,0.014017237562983693,0.48158730158730156,841.7776596546173,main,combined_mobility_orientation_nlos,4,841.8431363105774
omn_pf,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0372481828056,-7.526652682607086,183.9576321697846,0.0,0.05696613756613757,0.02641058201058201,0.9430338624338624,0.973589417989418,32.32868336905724,75.0,29.133805725707496,-300.0,100.17495679915737,0.1327132275132275,0.06724973544973545,0.8672867724867726,0.9327502645502646,21.994435572412417,0.4027108118248174,0.2113921452686535,30.614248612111655,0.015066495066495069,0.0605906434424158,0.16642010582010583,30.614248612111652,0.0,0.0,14.163513693802257,11.700105455463632,47.0,36.93674603174603,75.0,0.9800793650793651,0.20299842162113294,0.13731756543320192,0.08729074685167415,0.05032218004658584,0.9127092531483258,0.9496778199534142,0.033308406128100064,0.008756056618646096,0.48158730158730156,861.8968894481659,main,combined_mobility_orientation_nlos,4,861.9613778591156
omn_pf_a,300.0,75.0,42.0,1.0,1.0,1.0,stress,adaptive_ofdma_power_fixed_delta,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,32.0,5.493004247353738,-300.0,46.49161830397663,0.0,0.0187058201058201,0.0010084656084656067,0.9812941798941799,0.9989915343915344,70.02277110221036,75.0,3.4936448800347057,-300.0,20.511275432650738,0.04081798941798941,0.0036507936507936484,0.9591820105820106,0.9963492063492063,62.379091029548164,0.07392542587054324,0.005419549482283861,11.911398596877246,0.014957099957099958,0.06938460176314738,0.256205291005291,11.911398596877245,0.0,0.0,4.554116531876695,4.819701582599633,11.0,12.602857142857143,28.0,0.5528571428571428,0.2687718614268567,0.24406040444382765,0.03609320976810424,0.0005214118839594778,0.9639067902318957,0.9994785881160405,0.0061546267341627756,0.0013864918227618523,0.47619047619047616,1983.6278693675995,main,combined_mobility_orientation_nlos,3,1983.6965465545654
rr1,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,27.060716592315206,-300.0,89.09746732365602,0.0,0.02298412698412698,0.010252910052910048,0.977015873015873,0.9897470899470899,43.030502392344495,75.0,26.558116896567128,-300.0,75.32529736408345,0.1075978835978836,0.052823280423280425,0.8924021164021164,0.9471767195767196,20.64827331657016,0.16921322661062083,0.07824050099749126,14.824592883211697,0.015035392535392534,0.027299979660032385,0.1663862433862434,14.824592883211698,0.0,0.0,6.499007440434477,4.927319126578557,12.0,13.476111111111111,28.0,0.6442857142857142,0.1654676754328591,0.16553890061249193,0.02336566223626269,0.013473977361757856,0.9766343377637373,0.9865260226382422,0.023052829344985946,0.008292189243065228,0.44476190476190475,831.0252268314362,main,combined_mobility_orientation_nlos,5,831.0881712436676
max_sinr,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,29.349705877125313,-7.243187951621043,188.10034211527616,0.0,0.05953968253968253,0.028326984126984124,0.9404603174603174,0.9716730158730159,48.25176037834997,75.0,29.744054819269202,-300.0,114.0427829549398,0.14774179894179895,0.07047195767195767,0.852258201058201,0.9295280423280423,31.813552569628047,0.3644785652473885,0.1795648959402503,31.29730930422799,0.015035392535392534,0.06399417686382743,0.16638624338624342,31.29730930422799,0.0,0.0,17.631159590347504,15.819844967467267,64.0,43.27293650793651,75.0,0.9846031746031746,0.20856417084173368,0.13476517742665584,0.09488318464537167,0.06070207670344577,0.9051168153546283,0.9392979232965543,0.03274881061365871,0.004268040739178422,0.44476190476190475,831.2571444511414,main,combined_mobility_orientation_nlos,5,831.3197860717773
proportional_fair,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,29.080603830010205,-8.766910311969557,175.79241774970947,0.0,0.04988888888888888,0.01992486772486772,0.9501111111111111,0.9800751322751323,34.53542396897606,75.0,26.679168376202878,-300.0,74.46064349437596,0.11077142857142856,0.05743492063492063,0.8892285714285715,0.9425650793650794,23.50071236346367,0.3776544233821246,0.1717718739813993,29.249440005159332,0.015035392535392534,0.05402500059006236,0.1663862433862434,29.249440005159325,0.0,0.0,12.074421595876759,10.617780653161349,43.0,35.31650793650794,75.0,0.9782539682539683,0.17561393342708814,0.16175449662734404,0.06505432430510603,0.030424407564095847,0.934945675694894,0.9695755924359042,0.03981504408798687,0.013436769567461655,0.44476190476190475,831.7629191875458,main,combined_mobility_orientation_nlos,5,831.8257348537445
omn_pf,300.0,75.0,42.0,1.0,1.0,1.0,stress,static,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,28.939478796058392,-7.131249336356099,183.57636014027597,0.0,0.056896296296296285,0.025466666666666665,0.9431037037037037,0.9745333333333334,32.93519776839997,75.0,28.803163882140872,-300.0,97.9963374358117,0.13148042328042328,0.06457037037037036,0.8685195767195767,0.9354296296296296,22.55686544693664,0.40216336057247487,0.20037915741650597,30.544580938260626,0.015035392535392534,0.060624598948860534,0.1663862433862434,30.54458093826063,0.0,0.0,14.316052938041958,11.619295554441134,48.0,37.061031746031745,75.0,0.9788095238095238,0.203010809137742,0.13994345621631982,0.08806772883866516,0.049648791404723516,0.9119322711613348,0.9503512085952764,0.034037819180400865,0.008454613172796843,0.44476190476190475,871.650897026062,main,combined_mobility_orientation_nlos,5,871.7131021022797
omn_pf_a,300.0,75.0,42.0,1.0,1.0,1.0,stress,adaptive_ofdma_power_fixed_delta,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,32.0,5.729587004228445,-300.0,47.694581505806305,0.0,0.019371428571428567,0.0010645502645502628,0.9806285714285714,0.9989354497354498,69.68288181885288,75.0,3.8034657708357673,-300.0,21.222998824451082,0.04279153439153439,0.004095238095238093,0.9572084656084656,0.995904761904762,61.06475473656891,0.0769575035444431,0.005841358450592639,12.183214934847726,0.015066495066495069,0.06999687300815169,0.255442328042328,12.183214934847726,0.0,0.0,4.622694169907864,4.852930627784752,11.0,12.786825396825396,28.0,0.5581746031746032,0.2680010107341741,0.24416515797365299,0.03656512010305388,0.0005275037824805499,0.9634348798969461,0.9994724962175194,0.006716253259440843,0.001490115084767204,0.48158730158730156,1992.4962124824524,main,combined_mobility_orientation_nlos,4,1992.5703015327454
